Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Day_of_Week,Year,Month,Day,Lag_1,Lag_7,Lag_14,Lag_28,Rolling_7,Rolling_28,Predicted Units Sold,Error,Absolute_Error,7_Day_Run_Rate,Safety_Stock,Reorder_Point,Recommended_Order_Qty,Inventory_Coverage_Days,Risk_Level,Recommendation
2023-01-01,S001,P0001,Clothing,South,425,182,72,194.79,48.37,10,Rainy,1,49.99,Autumn,6,2023,1,1,378.0,86.0,72.0,350.0,119.71428571428571,129.0,148.79842,33.20158386230469,33.20158386230469,1041.5889,208.31778,1249.9066,825,2.8562131979060372,High,ORDER NOW
2023-01-02,S001,P0001,Clothing,South,358,79,71,98.16,57.86,10,Rainy,0,61.61,Summer,0,2023,1,2,182.0,51.0,43.0,6.0,133.42857142857142,123.0,177.11526,-98.11526489257812,98.11526489257812,1239.8069,247.96138,1487.7683,1130,2.0212825823744214,High,ORDER NOW
2023-01-03,S001,P0001,Electronics,East,284,236,194,248.32,24.2,20,Cloudy,0,27.46,Summer,1,2023,1,3,79.0,164.0,102.0,177.0,137.42857142857142,125.60714285714286,128.89462,107.10537719726562,107.10537719726562,902.2623,180.45247,1082.7148,799,2.2033502548406947,High,ORDER NOW
2023-01-04,S001,P0001,Clothing,East,324,270,93,261.14,31.2,0,Snowy,1,33.99,Autumn,2,2023,1,4,236.0,48.0,167.0,90.0,147.71428571428572,127.71428571428571,150.7373,119.2626953125,119.2626953125,1055.1611,211.03223,1266.1934,943,2.149434744582294,High,ORDER NOW
2023-01-05,S001,P0001,Furniture,South,376,136,84,152.46,59.56,15,Snowy,1,63.59,Autumn,3,2023,1,5,270.0,28.0,279.0,281.0,179.42857142857142,134.14285714285714,175.89622,-39.89622497558594,39.89622497558594,1231.2736,246.25471,1477.5283,1102,2.13762404538351,High,ORDER NOW
2023-01-06,S001,P0001,Furniture,East,422,14,98,29.26,47.91,20,Sunny,1,46.05,Autumn,4,2023,1,6,136.0,83.0,77.0,311.0,194.85714285714286,128.96428571428572,213.66902,-199.6690216064453,199.6690216064453,1495.6831,299.13663,1794.8197,1373,1.9750172337910419,High,ORDER NOW
2023-01-07,S001,P0001,Clothing,West,166,33,132,48.53,56.44,15,Snowy,1,54.01,Winter,5,2023,1,7,14.0,378.0,40.0,80.0,185.0,118.35714285714286,77.39463,-44.394630432128906,44.394630432128906,541.7624,108.35248,650.11487,485,2.1448516398766633,High,ORDER NOW
2023-01-08,S001,P0001,Toys,West,146,58,43,69.66,72.68,0,Sunny,0,77.24,Summer,6,2023,1,8,33.0,182.0,86.0,15.0,135.71428571428572,116.67857142857143,69.906,-11.905998229980469,11.905998229980469,489.34198,97.8684,587.2104,442,2.08851892107572,High,ORDER NOW
2023-01-09,S001,P0001,Toys,East,66,46,163,38.73,65.3,15,Snowy,0,63.42,Winter,0,2023,1,9,58.0,79.0,51.0,27.0,118.0,118.21428571428571,33.113377,12.88662338256836,12.88662338256836,231.79364,46.35873,278.15237,213,1.9931522164748396,High,ORDER NOW
2023-01-10,S001,P0001,Electronics,North,120,27,43,35.74,94.52,5,Cloudy,1,92.12,Spring,1,2023,1,10,46.0,236.0,164.0,41.0,113.28571428571429,118.89285714285714,56.33432,-29.334320068359375,29.334320068359375,394.34024,78.86805,473.20828,354,2.1301402032435104,High,ORDER NOW
2023-01-11,S001,P0001,Clothing,East,333,259,20,271.96,30.34,15,Rainy,0,26.64,Summer,2,2023,1,11,27.0,270.0,48.0,94.0,83.42857142857143,118.39285714285714,163.65341,95.34658813476562,95.34658813476562,1145.5739,229.11478,1374.6886,1042,2.0347880084175665,High,ORDER NOW
2023-01-12,S001,P0001,Clothing,South,86,25,116,29.15,43.03,0,Sunny,0,40.78,Autumn,3,2023,1,12,259.0,136.0,28.0,114.0,81.85714285714286,124.28571428571429,44.501133,-19.50113296508789,19.50113296508789,311.50793,62.301586,373.8095,288,1.9325350675334239,High,ORDER NOW
2023-01-13,S001,P0001,Electronics,East,98,86,123,85.45,19.91,20,Cloudy,1,23.61,Winter,4,2023,1,13,25.0,14.0,83.0,301.0,66.0,121.10714285714286,54.710796,31.289203643798828,31.289203643798828,382.9756,76.595116,459.5707,362,1.791236950052039,High,ORDER NOW
2023-01-14,S001,P0001,Clothing,South,273,54,166,70.72,11.56,15,Rainy,0,13.49,Summer,5,2023,1,14,86.0,33.0,378.0,107.0,76.28571428571429,113.42857142857143,135.90555,-81.90554809570312,81.90554809570312,951.33887,190.26778,1141.6067,869,2.0087480152595134,High,ORDER NOW
2023-01-15,S001,P0001,Furniture,East,392,377,65,378.92,25.33,15,Rainy,1,21.68,Autumn,6,2023,1,15,54.0,58.0,182.0,72.0,79.28571428571429,111.53571428571429,215.51575,161.4842529296875,161.4842529296875,1508.6102,301.72205,1810.3323,1419,1.8188926114624429,High,ORDER NOW
2023-01-16,S001,P0001,Electronics,North,369,156,31,173.46,74.5,20,Cloudy,0,71.74,Summer,0,2023,1,16,377.0,46.0,79.0,43.0,124.85714285714286,122.42857142857143,177.20403,-21.204025268554688,21.204025268554688,1240.4282,248.08565,1488.5139,1120,2.0823454740420053,High,ORDER NOW
2023-01-17,S001,P0001,Furniture,West,251,38,84,37.59,31.17,15,Cloudy,0,29.24,Winter,1,2023,1,17,156.0,27.0,236.0,102.0,140.57142857142858,126.46428571428571,112.786476,-74.7864761352539,74.7864761352539,789.5053,157.90106,947.4064,697,2.225444118840986,High,ORDER NOW
2023-01-18,S001,P0001,Toys,North,484,137,151,151.19,52.9,0,Sunny,0,49.75,Spring,2,2023,1,18,38.0,259.0,270.0,167.0,142.14285714285714,124.17857142857143,270.275,-133.27499389648438,133.27499389648438,1891.9249,378.38498,2270.3098,1787,1.790768701988659,High,ORDER NOW
2023-01-19,S001,P0001,Furniture,West,158,82,48,99.47,70.42,0,Snowy,1,74.25,Summer,3,2023,1,19,137.0,25.0,136.0,279.0,124.71428571428571,123.10714285714286,78.14209,3.85791015625,3.85791015625,546.9946,109.398926,656.39355,499,2.021957696753835,High,ORDER NOW
